iter	Passed	Remaining
477	42032	45901
478	42118	45811
479	42211	45728
480	42297	45639
481	42388	45554
482	42476	45466
483	42565	45379
484	42653	45291
485	42738	45201
486	42827	45114
487	42916	45027
488	43002	44937
489	43096	44855
490	43184	44767
491	43272	44680
492	43358	44590
493	43445	44501
494	43535	44414
495	43622	44325
496	43711	44238
497	43799	44150
498	43887	44063
499	43974	43974
500	44064	43889
501	44156	43804
502	44244	43716
503	44329	43626
504	44422	43542
505	44507	43451
506	44594	43363
507	44682	43275
508	44771	43188
509	44862	43102
510	44951	43016
511	45040	42929
512	45127	42840
513	45215	42752
514	45300	42662
515	45387	42572
516	45474	42483
517	45562	42396
518	45653	42311
519	45739	42221
520	45826	42132
521	45914	42044
522	46004	41958
523	46094	41871
524	46182	41784
525	46274	41700
526	46362	41612
527	46450	41524
528	46540	41437
529	46650	41369
530	46756	41297
531	46852	41215
532	46945	41132
533	47034	41045
534	47125	40959
535	47213	40871
536	47302	40784
537	47391	40697
538	47480	40609
539	47569	40521
540	47657	40434
541	47746	40347
542	47833	40257
543	47920	40169
544	48005	40078
545	48094	39990
546	48183	39903
547	48268	39813
548	48356	39724
549	48445	39636
550	48535	39550
551	48623	39462
552	48712	39375
553	48802	39288
554	48890	39200
555	48981	39114
556	49070	39027
557	49159	38940
558	49249	38853
559	49335	38763
560	49423	38675
561	49508	38585
562	49599	38499
563	49689	38412
564	49777	38324
565	49864	38235
566	49950	38145
567	50037	38056
568	50125	37968
569	50217	37883
570	50304	37794
571	50390	37704
572	50480	37618
573	50568	37529
574	50656	37441
575	50744	37353
576	50832	37265
577	50921	37177
578	51006	37087
579	51100	37004
580	51189	36916
581	51278	36828
582	51365	36740
583	51455	36652
584	51544	36565
585	51626	36473
586	51718	36388
587	51805	36298
588	51893	36211
589	51982	36123
590	52071	36035
591	52160	35948
592	52249	35861
593	52336	35772
594	52425	35684
595	52514	35596
596	52602	35508
597	52689	35420
598	52778	35332
599	52866	35244
600	52987	35178
601	53097	35104
602	53218	35037
603	53329	34964
604	53434	34886
605	53539	34809
606	53642	34730
607	53741	34649
608	53844	34570
609	53937	34484
610	54029	34398
611	54119	34310
612	54208	34222
613	54309	34142
614	54403	34057
615	54501	33975
616	54593	33888
617	54690	33805
618	54788	33722
619	54883	33638
620	54978	33553
621	55075	33470
622	55172	33386
623	55271	33304
624	55372	33223
625	55472	33141
626	55581	33065
627	55689	32987
628	55780	32900
629	55867	32811
630	55958	32723
631	56048	32636
632	56145	32551
633	56242	32468
634	56337	32383
635	56427	32294
636	56517	32206
637	56611	32121
638	56711	32039
639	56808	31954
640	56908	31872
641	57008	31789
642	57114	31710
643	57217	31629
644	57318	31547
645	57435	31473
646	57548	31398
647	57654	31318
648	57763	31240
649	57906	31180
650	58055	31123
651	58167	31046
652	58267	30962
653	58368	30880
654	58466	30795
655	58565	30711
656	58664	30627
657	58776	30549
658	58925	30490
659	59032	30410
660	59132	30326
661	59226	30239
662	59323	30153
663	59414	30064
664	59501	29974
665	59593	29886
666	59684	29797
667	59774	29708
668	59866	29619
669	59961	29533
670	60072	29454
671	60181	29374
672	60279	29288
673	60380	29204
674	60472	29116
675	60564	29027
676	60671	28946
677	60773	28863
678	60873	28778
679	60971	28692
680	61065	28604
681	61156	28515
682	61248	28427
683	61337	28337
684	61429	28248
685	61524	28161
686	61614	28071
687	61704	27982
688	61798	27894
689	61899	27810
690	61996	27723
691	62102	27641
692	62208	27558
693	62300	27469
694	62392	27381
695	62486	27292
696	62576	27203
697	62669	27114
698	62763	27026
699	62861	26940
700	62980	26863
701	63105	26788
702	63232	26714
703	63331	26627
704	63426	26540
705	63520	26451
706	63611	26362
707	63703	26273
708	63797	26184
709	63899	26099
710	64026	26024
711	64114	25934
712	64205	25844
713	64298	25755
714	64389	25665
715	64486	25578
716	64589	25493
717	64700	25411
718	64793	25322
719	64887	25234
720	64975	25143
721	65064	25052
722	65154	24962
723	65242	24871
724	65335	24782
725	65444	24699
726	65543	24612
727	65635	24523
728	65726	24433
729	65819	24344
730	65913	24255
731	66002	24164
732	66087	24072
733	66181	23984
734	66274	23894
735	66366	23805
736	66458	23715
737	66557	23628
738	66652	23540
739	66747	23451
740	66839	23362
741	66934	23273
742	67030	23185
743	67119	23094
744	67208	23004
745	67298	22913
746	67388	22823
747	67478	22733
748	67577	22646
749	67671	22557
750	67766	22468
751	67855	22377
752	67953	22290
753	68044	22200
754	68132	22109
755	68222	22018
756	68311	21928
757	68406	21839
758	68525	21758
759	68636	21674
760	68739	21588
761	68827	21497
762	68920	21407
763	69030	21323
764	69140	21239
765	69235	21150
766	69336	21063
767	69431	20974
768	69545	20890
769	69652	20805
770	69751	20717
771	69851	20629
772	69950	20541
773	70052	20454
774	70148	20365
775	70240	20275
776	70328	20184
777	70417	20093
778	70510	20003
779	70627	19920
780	70735	19834
781	70839	19748
782	70945	19661
783	71044	19573
784	71148	19486
785	71264	19402
786	71419	19329
787	71527	19243
788	71638	19158
789	71739	19069
790	71841	18982
791	71945	18894
792	72048	18807
793	72152	18719
794	72255	18631
795	72355	18543
796	72457	18455
797	72570	18369
798	72685	18284
799	72785	18196
800	72885	18107
801	72987	18019
802	73078	17928
803	73170	17837
804	73257	17745
805	73346	17654
806	73437	17563
807	73527	17471
808	73620	17381
809	73710	17290
810	73802	17199
811	73908	17111
812	74014	17024
813	74111	16934
814	74206	16844
815	74302	16754
816	74401	16665
817	74511	16578
818	74621	16491
819	74728	16403
820	74836	16316
821	74939	16227
822	75062	16143
823	75170	16055
824	75276	15967
825	75406	15884
826	75526	15799
827	75639	15712
828	75764	15628
829	75886	15543
830	76001	15456
831	76113	15369
832	76217	15280
833	76320	15190
834	76418	15100
835	76517	15010
836	76624	14922
837	76729	14833
838	76847	14746
839	76984	14663
840	77104	14577
841	77220	14490
842	77320	14400
843	77426	14311
844	77521	14219
845	77612	14128
846	77699	14035
847	77789	13943
848	77880	13851
849	77973	13760
850	78058	13667
851	78150	13575
852	78239	13483
853	78330	13391
854	78421	13299
855	78512	13207
856	78612	13117
857	78700	13025
858	78792	12933
859	78882	12841
860	78975	12749
861	79065	12657
862	79161	12566
863	79252	12474
864	79339	12382
865	79427	12290
866	79516	12198
867	79602	12105
868	79694	12013
869	79788	11922
870	79876	11830
871	79968	11738
872	80059	11646
873	80148	11554
874	80237	11462
875	80329	11370
876	80419	11278
877	80508	11186
878	80597	11094
879	80687	11002
880	80777	10910
881	80866	10818
882	80957	10727
883	81047	10635
884	81139	10543
885	81230	10451
886	81320	10359
887	81411	10268
888	81502	10176
889	81591	10084
890	81682	9992
891	81779	9901
892	81893	9812
893	82002	9722
894	82103	9632
895	82207	9541
896	82314	9451
897	82415	9361
898	82506	9269
899	82594	9177
900	82684	9085
901	82779	8993
902	82887	8903
903	83007	8814
904	83109	8724
905	83211	8633
906	83314	8542
907	83408	8451
908	83502	8359
909	83591	8267
910	83679	8175
911	83768	8082
912	83860	7991
913	83956	7899
914	84050	7807
915	84140	7715
916	84233	7624
917	84323	7532
918	84413	7440
919	84517	7349
920	84631	7259
921	84746	7169
922	84853	7078
923	84979	6989
924	85088	6899
925	85204	6809
926	85314	6718
927	85431	6628
928	85539	6537
929	85642	6446
930	85734	6354
931	85824	6261
932	85918	6169
933	86013	6078
934	86104	5985
935	86196	5893
936	86283	5801
937	86372	5709
938	86461	5616
939	86552	5524
940	86661	5433
941	86763	5342
942	86861	5250
943	86962	5158
944	87054	5066
945	87146	4974
946	87235	4882
947	87322	4789
948	87413	4697
949	87503	4605
950	87617	4514
951	87716	4422
952	87805	4330
953	87896	4238
954	87989	4146
955	88097	4054
956	88191	3962
957	88280	3870
958	88374	3778
959	88467	3686
960	88564	3594
961	88663	3502
962	88760	3410
963	88860	3318
964	88957	3226
965	89045	3134
966	89134	3041
967	89226	2949
968	89328	2857
969	89415	2765
970	89503	2673
971	89590	2580
972	89677	2488
973	89768	2396
974	89877	2304
975	89989	2212
976	90119	2121
977	90279	2030
978	90396	1939
979	90526	1847
980	90646	1755
981	90755	1663
982	90865	1571
983	90965	1479
984	91065	1386
985	91158	1294
986	91254	1201
987	91345	1109
988	91439	1017
989	91530	924
990	91624	832
991	91716	739
992	91804	647
993	91896	554
994	91984	462
995	92084	369
996	92183	277
997	92280	184
998	92376	92
999	92475	0
