iter	RMSE
442	0.3103088964
443	0.309688325
444	0.3090877328
445	0.3082261494
446	0.3074230171
447	0.3063284766
448	0.3057571335
449	0.3053401326
450	0.3044772858
451	0.3042125312
452	0.3033620963
453	0.3025591137
454	0.301936053
455	0.3014361332
456	0.3010984397
457	0.3005279657
458	0.3002118833
459	0.3000748918
460	0.2995770518
461	0.2993802299
462	0.2989751067
463	0.2982471081
464	0.2973086293
465	0.2964879658
466	0.296125729
467	0.2957858212
468	0.2945837189
469	0.294135423
470	0.2936312875
471	0.2931536027
472	0.29270929
473	0.2918431138
474	0.2910998794
475	0.2908785456
476	0.2901458539
477	0.2895550842
478	0.2882098493
479	0.2872500981
480	0.2867423786
481	0.2860659615
482	0.2852496452
483	0.2842805078
484	0.2839544386
485	0.283007447
486	0.2826037061
487	0.2817839303
488	0.2813844101
489	0.2806428369
490	0.2797445944
491	0.279043241
492	0.2786595721
493	0.2781215445
494	0.2775880964
495	0.2771420276
496	0.2764138661
497	0.2756907462
498	0.2752735503
499	0.2745358132
500	0.2741363069
501	0.2738265221
502	0.2733851246
503	0.2726125072
504	0.2717326199
505	0.2715526169
506	0.2707285786
507	0.2703667736
508	0.2698136823
509	0.2692007784
510	0.2686214822
511	0.2680361799
512	0.2678215494
513	0.2666723863
514	0.2660663818
515	0.2655770487
516	0.2650272692
517	0.2646841098
518	0.2642220337
519	0.2639141931
520	0.2636247813
521	0.26347121
522	0.2627081294
523	0.2624334848
524	0.2614361842
525	0.2610171234
526	0.2602637031
527	0.259893523
528	0.2596904074
529	0.258783415
530	0.2585287966
531	0.2579853909
532	0.2569108832
533	0.2563087528
534	0.2559087968
535	0.2556690796
536	0.2552900412
537	0.2550101814
538	0.2549073113
539	0.2541980728
540	0.2536442361
541	0.2527715221
542	0.2525134079
543	0.2516756206
544	0.2515270488
545	0.2507617735
546	0.2505343801
547	0.2501114713
548	0.2497031404
549	0.249209699
550	0.2487807284
551	0.2480120335
552	0.2475637823
553	0.2470518857
554	0.2467744862
555	0.2460947882
556	0.2455060557
557	0.2446487586
558	0.2442835481
559	0.2437117729
560	0.2433021777
561	0.2428681873
562	0.2424352242
563	0.242062927
564	0.2417139184
565	0.2411551837
566	0.2405212846
567	0.2402774436
568	0.2399134675
569	0.2396294487
570	0.2391675355
571	0.2388719921
572	0.2382847769
573	0.2381479004
574	0.2379162423
575	0.2372607285
576	0.2369768297
577	0.2362486668
578	0.2361001936
579	0.2358273683
580	0.2351875486
581	0.234792656
582	0.2344630708
583	0.233603006
584	0.2333945837
585	0.2330982727
586	0.2325904661
587	0.2320627881
588	0.2315954278
589	0.2312159227
590	0.2307805455
591	0.2306234624
592	0.2298391618
593	0.2292744014
594	0.2287726532
595	0.2280903073
596	0.2279743723
597	0.2276564439
598	0.2272523642
599	0.2265543389
600	0.2262694158
601	0.2260286612
602	0.2258714005
603	0.2254587358
604	0.2251796476
605	0.224619199
606	0.2241932924
607	0.2239227554
608	0.2237034821
609	0.2235174475
610	0.2227780747
611	0.2225665544
612	0.2218537076
613	0.2214677463
614	0.2210102846
615	0.2208153891
616	0.2204946466
617	0.2201082013
618	0.2199189759
619	0.2195684327
620	0.2192137346
621	0.218799049
622	0.2185428501
623	0.2180811741
624	0.217559633
625	0.2173213301
626	0.216771315
627	0.2166017944
628	0.2159575809
629	0.2154363659
630	0.2152028649
631	0.2147088429
632	0.2143183175
633	0.2140487365
634	0.2135678146
635	0.2132517948
636	0.2128066763
637	0.2127211457
638	0.2125441489
639	0.2123784585
640	0.2119582644
641	0.2116673685
642	0.2110388196
643	0.2108795722
644	0.2104667062
645	0.2101689168
646	0.210016442
647	0.2096844891
648	0.2095235806
649	0.2090922748
650	0.2087916667
651	0.2084653804
652	0.2080473216
653	0.207708729
654	0.2074295978
655	0.2072609311
656	0.206960803
657	0.2067308745
658	0.2061851051
659	0.2058105169
660	0.2055480027
661	0.2053189335
662	0.2051765079
663	0.2050109389
664	0.2046708739
665	0.2042428787
666	0.2039199201
667	0.2033338107
668	0.2028676
669	0.202525035
670	0.202332515
671	0.2021903444
672	0.2017731516
673	0.2015233999
674	0.2011088854
675	0.2008343039
676	0.2005612452
677	0.2004290005
678	0.2002713526
679	0.1998740555
680	0.199497604
681	0.1993035758
682	0.198753733
683	0.1984425435
684	0.1980475741
685	0.1976395669
686	0.1973193842
687	0.1969134791
688	0.1967719533
689	0.1964968005
690	0.1959963534
691	0.1958412969
692	0.1956816502
693	0.1952667508
694	0.1947417286
695	0.1944769116
696	0.1941260265
697	0.1935125376
698	0.1929918886
699	0.192381686
700	0.1918927929
701	0.1916780816
702	0.1914370148
703	0.1912734313
704	0.190868404
705	0.1906792705
706	0.1902845086
707	0.1900067403
708	0.1898573138
709	0.1895993946
710	0.189405581
711	0.189268894
712	0.1891368273
713	0.1884619661
714	0.1883305491
715	0.1880196227
716	0.1878861463
717	0.1876537377
718	0.1873939718
719	0.1872412513
720	0.1868984639
721	0.1865163117
722	0.1863432041
723	0.186134941
724	0.1856121222
725	0.1851965323
726	0.1849988498
727	0.1846738807
728	0.1844916837
729	0.1841732572
730	0.1839371332
731	0.183837488
732	0.1836395036
733	0.1835185793
734	0.1830114613
735	0.1825942254
736	0.182331284
737	0.1821344999
738	0.1818942717
739	0.181545894
740	0.1813022183
741	0.1810234654
742	0.1806766955
743	0.1805434291
744	0.1803302959
745	0.1801142025
746	0.1796788409
747	0.1795137719
748	0.1791050626
749	0.1788155856
750	0.1785741809
751	0.178226062
752	0.1779788467
753	0.177729071
754	0.1774844018
755	0.1773843067
756	0.1770409321
757	0.1766329424
758	0.1764529956
759	0.176166655
760	0.1760568081
761	0.1756930019
762	0.1755658769
763	0.1752007604
764	0.1748434122
765	0.174667233
766	0.1743323137
767	0.1742052342
768	0.1739217407
769	0.1738257598
770	0.1736463358
771	0.1732417008
772	0.1730104487
773	0.1727243096
774	0.1724249806
775	0.1720682985
776	0.1719728595
777	0.1716455028
778	0.1713334957
779	0.1708499567
780	0.170576339
781	0.170283012
782	0.1699833688
783	0.1696792507
784	0.1695251936
785	0.1692074038
786	0.1689172145
787	0.1686549725
788	0.1684088767
789	0.1680756534
790	0.1675871965
791	0.1672423372
792	0.1669321825
793	0.166755437
794	0.1665317053
795	0.1662012707
796	0.1658836415
797	0.1656712841
798	0.165427226
799	0.165143842
800	0.1650402147
801	0.1647255311
802	0.1646214986
803	0.1643479425
804	0.1640833147
805	0.1639337983
806	0.1636187519
807	0.1633199214
808	0.162855953
809	0.162629039
810	0.1623884459
811	0.1621049997
812	0.1618084978
813	0.1617067753
814	0.161550187
815	0.1613958351
816	0.1610544427
817	0.1608683222
818	0.1607928039
819	0.1605435465
820	0.1602284813
821	0.1599522925
822	0.1598019256
823	0.1594536749
824	0.1592831987
825	0.1589270584
826	0.1586865478
827	0.1584398706
828	0.1582074463
829	0.1577963654
830	0.1575670938
831	0.1572982503
832	0.1569511402
833	0.1568675854
834	0.1566447115
835	0.1565002496
836	0.1563599204
837	0.1559473229
838	0.1557681716
839	0.1555567297
840	0.1552936283
841	0.1552323569
842	0.1550268979
843	0.1546937993
844	0.1545575114
845	0.15443112
846	0.1543384564
847	0.1541537216
848	0.153897231
849	0.1536880676
850	0.1534490757
851	0.1530837401
852	0.1528663999
853	0.1525914244
854	0.1523216813
855	0.1520805177
856	0.1518124176
857	0.1517317906
858	0.1515963722
859	0.1512964767
860	0.1511659885
861	0.1508419711
862	0.1506238218
863	0.1503505632
864	0.1502265255
865	0.1501379799
866	0.1499216394
867	0.1498183982
868	0.1495988593
869	0.1493722623
870	0.149272984
871	0.1488229679
872	0.148585864
873	0.1483452547
874	0.1482269076
875	0.147995238
876	0.1479160637
877	0.1477266793
878	0.1475723956
879	0.1474825649
880	0.1474001524
881	0.1472871033
882	0.1470841752
883	0.1470122511
884	0.1466076748
885	0.1463693445
886	0.1462954395
887	0.1460310762
888	0.1458787365
889	0.1457063928
890	0.1455935069
891	0.145308489
892	0.1450875571
893	0.1450042329
894	0.1447867891
895	0.1445813549
896	0.1444400843
897	0.1443102549
898	0.1441653595
899	0.1439824611
900	0.1438664896
901	0.1435775266
902	0.1434329126
903	0.1431114174
904	0.1428465449
905	0.142749545
906	0.1425227018
907	0.1421613277
908	0.1421044855
909	0.1418755886
910	0.1418414187
911	0.1414230894
912	0.1411068308
913	0.1409933198
914	0.140741989
915	0.140635198
916	0.1404850844
917	0.1402989426
918	0.1401123974
919	0.1398766977
920	0.1397966537
921	0.1395282565
922	0.1393457957
923	0.1392768509
924	0.1390399341
925	0.1388637384
926	0.1386344755
927	0.1384609961
928	0.1383071429
929	0.1381484793
930	0.1379808256
931	0.1378400318
932	0.1375773653
933	0.1373850426
934	0.1372696677
935	0.1371741886
936	0.1368503653
937	0.1366215106
938	0.1363928454
939	0.1363012051
940	0.1359724353
941	0.1356512055
942	0.1355572777
943	0.1353564988
944	0.1350877324
945	0.1348838712
946	0.1347989037
947	0.1345998094
948	0.1344818994
949	0.1343711399
950	0.1342078548
951	0.1340005066
952	0.133903708
953	0.1337673592
954	0.1335820947
955	0.133448442
956	0.1333642086
957	0.1332921795
958	0.1329910618
959	0.1327510735
960	0.1326754522
961	0.1325408074
962	0.1322751316
963	0.1320819837
964	0.1319177951
965	0.1318222421
966	0.1317439025
967	0.1315413888
968	0.1314428645
969	0.1313105483
970	0.1311392253
971	0.1309557057
972	0.1308348223
973	0.1307281933
974	0.1305705698
975	0.1304173586
976	0.1302135406
977	0.1301266686
978	0.1300405365
979	0.1299693206
980	0.1297777791
981	0.1295680288
982	0.1293683144
983	0.1291890125
984	0.1289483861
985	0.128794918
986	0.12850652
987	0.1283214758
988	0.1282073509
989	0.1279195717
990	0.1277199542
991	0.1275412059
992	0.1273378452
993	0.1271778857
994	0.1270683046
995	0.1269666433
996	0.1267336484
997	0.1266320985
998	0.1262963484
999	0.1262470157
